Provincias de destino;Procedencia de los viajeros;Meses;Total
Cádiz;Residentes en España;Septiembre;2,29
Cádiz;Residentes en España;Octubre;2,04
Cádiz;Residentes en España;Noviembre;2,09
Cádiz;Residentes en España;Diciembre;2,46
Cádiz;No Residentes en España;Total;2,39
Cádiz;No Residentes en España;Enero;2,47
Cádiz;No Residentes en España;Febrero;2,48
Cádiz;No Residentes en España;Marzo;2,19
Cádiz;No Residentes en España;Abril;1,89
Cádiz;No Residentes en España;Mayo;2,38
Cádiz;No Residentes en España;Junio;2,52
Cádiz;No Residentes en España;Julio;2,98
Cádiz;No Residentes en España;Agosto;2,66
Cádiz;No Residentes en España;Septiembre;2,48
Cádiz;No Residentes en España;Octubre;2,14
Cádiz;No Residentes en España;Noviembre;1,88
Cádiz;No Residentes en España;Diciembre;2,35
Cantabria;Total;Total;2,48
Cantabria;Total;Enero;1,85
Cantabria;Total;Febrero;1,92
Cantabria;Total;Marzo;1,82
Cantabria;Total;Abril;2,26
Cantabria;Total;Mayo;2,05
Cantabria;Total;Junio;2,2
Cantabria;Total;Julio;2,82
Cantabria;Total;Agosto;3,26
Cantabria;Total;Septiembre;2,31
Cantabria;Total;Octubre;2,02
Cantabria;Total;Noviembre;2,08
Cantabria;Total;Diciembre;2,29
Cantabria;Residentes en España;Total;2,49
Cantabria;Residentes en España;Enero;1,85
Cantabria;Residentes en España;Febrero;1,9
Cantabria;Residentes en España;Marzo;1,82
Cantabria;Residentes en España;Abril;2,26
Cantabria;Residentes en España;Mayo;2,05
Cantabria;Residentes en España;Junio;2,15
Cantabria;Residentes en España;Julio;2,81
Cantabria;Residentes en España;Agosto;3,31
Cantabria;Residentes en España;Septiembre;2,34
Cantabria;Residentes en España;Octubre;2
Cantabria;Residentes en España;Noviembre;2,12
Cantabria;Residentes en España;Diciembre;2,26
Cantabria;No Residentes en España;Total;2,44
Cantabria;No Residentes en España;Enero;1,88
Cantabria;No Residentes en España;Febrero;2,2
Cantabria;No Residentes en España;Marzo;1,79
Cantabria;No Residentes en España;Abril;2,28
Cantabria;No Residentes en España;Mayo;2
Cantabria;No Residentes en España;Junio;2,48
Cantabria;No Residentes en España;Julio;2,9
Cantabria;No Residentes en España;Agosto;2,86
Cantabria;No Residentes en España;Septiembre;2,17
Cantabria;No Residentes en España;Octubre;2,13
Cantabria;No Residentes en España;Noviembre;1,77
Cantabria;No Residentes en España;Diciembre;2,71
Castellón;Total;Total;2,82
Castellón;Total;Enero;2,5
Castellón;Total;Febrero;2,21
Castellón;Total;Marzo;2,8
Castellón;Total;Abril;2,89
Castellón;Total;Mayo;2,35
Castellón;Total;Junio;2,46
Castellón;Total;Julio;3,46
Castellón;Total;Agosto;3,94
Castellón;Total;Septiembre;2,55
Castellón;Total;Octubre;2,46
Castellón;Total;Noviembre;2,52
Castellón;Total;Diciembre;2,66
Castellón;Residentes en España;Total;2,55
Castellón;Residentes en España;Enero;2,2
Castellón;Residentes en España;Febrero;2,04
Castellón;Residentes en España;Marzo;2,43
Castellón;Residentes en España;Abril;2,77
Castellón;Residentes en España;Mayo;2,17
Castellón;Residentes en España;Junio;2,27
Castellón;Residentes en España;Julio;2,73
Castellón;Residentes en España;Agosto;3,55
Castellón;Residentes en España;Septiembre;2,38
Castellón;Residentes en España;Octubre;2,27
Castellón;Residentes en España;Noviembre;2,3
Castellón;Residentes en España;Diciembre;2,54
Castellón;No Residentes en España;Total;10,05
Castellón;No Residentes en España;Enero;24,75
Castellón;No Residentes en España;Febrero;16,5
Castellón;No Residentes en España;Marzo;26,75
Castellón;No Residentes en España;Abril;8,43
